treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_ARP_WPN_RC_UNIQUE_HoundMasterCrossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_KaliasStunner"
new subtable "-1"
object category "I_ARP_FTJ_Kalias_Stunner_Sword",1,0,0,0,0,0,0,0
new treasuretable "ARP_Knaap"
new subtable "-1"
object category "I_ARP_FTJ_Knaap_Shield",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagisterCarinsShield"
new subtable "-1"
object category "I_ARP_FTJ_MagisterCarin_Shield",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagisterOrivandsMace"
new subtable "-1"
object category "I_ARP_FTJ_Magister_Orivand_2HMace",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagistersCrossbow"
new subtable "-1"
object category "I_ARP_FTJ_OutsideMagister_Crossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagistersMantle"
new subtable "-1"
object category "I_ARP_FTJ_HarbourMagister_MageArmour",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagistersSword"
new subtable "-1"
object category "I_ARP_FTJ_CorneringMagister_Sword",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagisterTripplesTwohander"
new subtable "-1"
object category "I_ARP_FTJ_Magister_Trippel_2HSword",1,0,0,0,0,0,0,0
new treasuretable "ARP_MaskOfStrength"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SalamanderHelmet_Str",1,0,0,0,0,0,0,0
new treasuretable "ARP_MigosBreastplate"
new subtable "-1"
object category "I_ARP_FTJ_Gheist_Migo_UpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_MigosRing"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_MothersRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_NeedlesWand"
new subtable "-1"
object category "I_ARP_FTJ_Brute_Needle_Wand",1,0,0,0,0,0,0,0
new treasuretable "ARP_RadekasThorn"
new subtable "-1"
object category "I_ARP_FTJ_Radeka_Wand",1,0,0,0,0,0,0,0
new treasuretable "ARP_RadiantAegis"
new subtable "-1"
object category "I_ARP_UNI_Dallis_Stage2_Shield",1,0,0,0,0,0,0,0
new treasuretable "ARP_RingOfIntelligence"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SalamanderRing_Int",1,0,0,0,0,0,0,0
new treasuretable "ARP_SaheilaSignet"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SaheilaSignet",1,0,0,0,0,0,0,0
new treasuretable "ARP_SecondSkin"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SalamanderGloves_Fin",1,0,0,0,0,0,0,0
new treasuretable "ARP_ShadowsEye"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_IfansCrossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_SimplePendant"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SimplePendant",1,0,0,0,0,0,0,0
new treasuretable "ARP_SlugsAxe"
new subtable "-1"
object category "I_ARP_FTJ_Brute_Slug_Axe",1,0,0,0,0,0,0,0
new treasuretable "ARP_SpearOfBraccusRex"
new subtable "-1"
object category "I_ARP_WPN_RC_Weapon_WithermooreSpear",1,0,0,0,0,0,0,0
new treasuretable "ARP_SunderingCleaver"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_SourceAxe",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheIlluminator"
new subtable "-1"
object category "I_ARP_WPN_FTJ_UNIQUE_BraccusTorch",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheReckoning"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_DallisHammer",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheVipersTongue"
new subtable "-1"
object category "I_ARP_WPN_FTJ_UNIQUE_AncientEmpireSword",1,0,0,0,0,0,0,0
new treasuretable "ARP_TracksOfTheTyrant"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusArmor_Legs",1,0,0,0,0,0,0,0
new treasuretable "ARP_TrompdoyHatchet"
new subtable "-1"
object category "I_ARP_FTJ_Trompdoy_Hatchet",1,0,0,0,0,0,0,0
new treasuretable "ARP_TurtlesClaw"
new subtable "-1"
object category "I_ARP_FTJ_SpikedTurtle_Wand",1,0,0,0,0,0,0,0
new treasuretable "ARP_TyrantsHelm"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusHelmet_Cured",1,0,0,0,0,0,0,0
new treasuretable "ARP_TyrantsStride"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusArmor_LowerBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_WaltzsStaff"
new subtable "-1"
object category "I_ARP_FTJ_Brute_Waltz_Staff",1,0,0,0,0,0,0,0
new treasuretable "ARP_WithermooresGirdle"
new subtable "-1"
object category "I_ARP_ARM_WithermooreGirdle",1,0,0,0,0,0,0,0
new treasuretable "ARP_FangOfTheWinterDragon"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_WinterDragonFang",1,0,0,0,0,0,0,0
new treasuretable "ARP_GlovesOfTeleportation"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_TeleportationGloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_Abstinence"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_Abstinence",1,0,0,0,0,0,0,0
new treasuretable "ARP_AlexandarsCloak"
new subtable "-1"
object category "I_ARP_FTJ_Alexandar_Armour",1,0,0,0,0,0,0,0
new treasuretable "ARP_AmuletOfTheDeep"
new subtable "-1"
object category "I_ARP_FTJ_SW_VWBoss_VoidWoken_Amulet",1,0,0,0,0,0,0,0
new treasuretable "ARP_AmuletOfTheVoid"
new subtable "-1"
object category "I_ARP_FTJ_SW_ShelterBackSalamander_Amulet",1,0,0,0,0,0,0,0
new treasuretable "ARP_AstartesTears"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Astartes_Tears_Ring",1,0,0,0,0,0,0,0
new treasuretable "ARP_BandOfBraccus"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusCursedRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_BlazingJustice"
new subtable "-1"
object category "I_ARP_UNI_Dallis_Stage2_Hammer",1,0,0,0,0,0,0,0
new treasuretable "ARP_AFingalBoydsLimitedEdition"
new subtable "-1"
object category "I_ARP_WPN_RC_DW_LuthiersBow",1,0,0,0,0,0,0,0
new treasuretable "ARP_Amadio"
new subtable "-1"
object category "I_ARP_RC_DW_Unique_Shield",1,0,0,0,0,0,0,0
new treasuretable "ARP_AnMeyFalin"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_Belt",1,0,0,0,0,0,0,0
new treasuretable "ARP_AntiqueArmour"
new subtable "-1"
object category "I_ARP_UNI_RC_FL_Armor_Platemail_AncientTrophy",1,0,0,0,0,0,0,0
new treasuretable "ARP_AntlerBow"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_DeerBow",1,0,0,0,0,0,0,0
new treasuretable "ARP_AssassinsBow"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_LizardAssassinBow",1,0,0,0,0,0,0,0
new treasuretable "ARP_BaranLeveresRingOfBartering"
new subtable "-1"
object category "I_ARP_RC_DW_Tavern_Baran_Leveres_Ring",1,0,0,0,0,0,0,0
new treasuretable "ARP_BaransBurningDagger"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_RichMerchant_Dagger_02",1,0,0,0,0,0,0,0
new treasuretable "ARP_BaransElectrifyingDagger"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_RichMerchant_Dagger_01",1,0,0,0,0,0,0,0
new treasuretable "ARP_BrittleSpear"
new subtable "-1"
object category "I_ARP_WPN_RC_GY_UNIQUE_BrittleSpear",1,0,0,0,0,0,0,0
new treasuretable "ARP_BlackRingBlade"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_MalevolentSword",1,0,0,0,0,0,0,0
new treasuretable "ARP_CaptainAblewethersHat"
new subtable "-1"
object category "I_ARP_RC_DW_Tavern_Captain_Ablewethers_Hat",1,0,0,0,0,0,0,0
new treasuretable "ARP_CaptainsCompass"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_CaptainsCompass",1,0,0,0,0,0,0,0
new treasuretable "ARP_CharmoreDoran"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_AirWand",1,0,0,0,0,0,0,0
new treasuretable "ARP_CopperRing"
new subtable "-1"
object category "I_ARP_ARM_Ring_UNIQUE_RC_DW_FishermanRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_DannaDumora"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_MageUpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_DeadeyesSignatureCrossbow"
new subtable "-1"
object category "I_ARP_WPN_RC_MIL_Deadeye_Crossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_DjinnsScimitar"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_DjinnsScimitar",1,0,0,0,0,0,0,0
new treasuretable "ARP_ElvenAxe"
new subtable "-1"
object category "I_ARP_WPN_RC_MIL_UNIQUE_DwarfWolfAxe",1,0,0,0,0,0,0,0
new treasuretable "ARP_Emrach"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_HeavyUpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_ExcruciatingEcho"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_SourceCrossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_ExecutorNinyansAxe"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_ExecutorsAxe",1,0,0,0,0,0,0,0
new treasuretable "ARP_FancyDagger"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_LoharDagger",1,0,0,0,0,0,0,0
new treasuretable "ARP_GlovesOfAquisition"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ThiefGloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_FirewatersStaff"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_RC_MIL_Firewaters_Staff",1,0,0,0,0,0,0,0
new treasuretable "ARP_FlashingFootsteps"
new subtable "-1"
object category "I_ARP_ARM_ClothBoots_UNIQUE_Memorial",1,0,0,0,0,0,0,0
new treasuretable "ARP_HallasShinyRibbon"
new subtable "-1"
object category "I_ARP_ARM_Belt_UNIQUE_Memorial",1,0,0,0,0,0,0,0
new treasuretable "ARP_HanalLechet"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_Axe",1,0,0,0,0,0,0,0
new treasuretable "ARP_HannagsRing"
new subtable "-1"
object category "I_ARP_ARX_RC_FL_UNIQUE_GarethParentsRewardRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_JonathansGloves"
new subtable "-1"
object category "I_ARP_ARM_RC_FL_UNIQUE_JonathanGloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_JustiniasFavour"
new subtable "-1"
object category "I_ARP_ARM_LightGloves_UNIQUE_Memorial",1,0,0,0,0,0,0,0
new treasuretable "ARP_LivewoodShield"
new subtable "-1"
object category "I_ARP_RC_MIL_UNIQUE_LogRewardShield",1,0,0,0,0,0,0,0
new treasuretable "ARP_LoharsTwoHandedSourceHammer"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_LoharsSourceHammer",1,0,0,0,0,0,0,0
new treasuretable "ARP_LoneWolfMark"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_LoneWolfMark",1,0,0,0,0,0,0,0
new treasuretable "ARP_MagistersCloak"
new subtable "-1"
object category "I_ARP_S_RC_OIL_EQ_Armor_Mage_WallBoss",1,0,0,0,0,0,0,0
new treasuretable "ARP_MiserysMirror"
new subtable "-1"
object category "I_ARP_RC_GY_Shield",1,0,0,0,0,0,0,0
new treasuretable "ARP_MordusAmulet"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_MordusAmulet",1,0,0,0,0,0,0,0
new treasuretable "ARP_MorningsLight"
new subtable "-1"
object category "I_ARP_UNI_RC_MIL_CorbinsBow",1,0,0,0,0,0,0,0
new treasuretable "ARP_LoversQuarrel"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_LoversQuarrel",1,0,0,0,0,0,0,0
new treasuretable "ARP_RachtMuvora"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_LightUpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_RainwaterAmulet"
new subtable "-1"
object category "I_ARP_RC_FL_Lowlands_RainAmulet",1,0,0,0,0,0,0,0
new treasuretable "ARP_ReaversAxe"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_ReaversAxe",1,0,0,0,0,0,0,0
new treasuretable "ARP_SacoreEvdek"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_MhordkanHammer",1,0,0,0,0,0,0,0
new treasuretable "ARP_SpearOfFoes"
new subtable "-1"
object category "I_ARP_WPN_RC_SaheilaRewardSpear",1,0,0,0,0,0,0,0
new treasuretable "ARP_SpiderSilkGloves"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_GY_RykersSpider_Gloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_SoulforgedBlade"
new subtable "-1"
object category "I_ARP_WPN_RC_DW_UNIQUE_SmugglingSword",1,0,0,0,0,0,0,0
new treasuretable "ARP_SoulforgedCrossbow"
new subtable "-1"
object category "I_ARP_WPN_RC_DW_UNIQUE_SmugglingCrossbow",1,0,0,0,0,0,0,0
new treasuretable "ARP_SourcerersRng"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_DW_Barracks_Evidence",1,0,0,0,0,0,0,0
new treasuretable "ARP_StonecrusherArmour"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_PossessedDwarf_UpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_Stormforger"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_SourceMace",1,0,0,0,0,0,0,0
new treasuretable "ARP_Terrorbite"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_DorotyaDagger_01",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheDestroyersGloves"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RC_BI_Destroyer_Gloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_ThePrideOfPryce"
new subtable "-1"
object category "I_The Pride of Pryce",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheRavisher"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_AlmiraRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_VarddLayal"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_RC_DW_Bow",1,0,0,0,0,0,0,0
new treasuretable "ARP_Venombite"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_DorotyaDagger_02",1,0,0,0,0,0,0,0
new treasuretable "ARP_VerySilentWatchersLeatherShirt"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_WatcherUpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_VishasHelm"
new subtable "-1"
object category "I_ARP_ARM_HeavyHelmet_UNIQUE_Memorial",1,0,0,0,0,0,0,0
new treasuretable "ARP_WandOfTheElder"
new subtable "-1"
object category "I_ARP_WPN_RC_Unique_ElderOfPassing",1,0,0,0,0,0,0,0
new treasuretable "ARP_XhaxhsStaffOfParasiticDecay"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_LichStaff_02",1,0,0,0,0,0,0,0
new treasuretable "ARP_AndStayDown"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ResurrectionPreventionStaff",1,0,0,0,0,0,0,0
new treasuretable "ARP_BlackRingSacrificalDagger"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_CoS_BlackRingDagger",1,0,0,0,0,0,0,0
new treasuretable "ARP_CowlOfTrueSight"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_DispelCowl",1,0,0,0,0,0,0,0
new treasuretable "ARP_DelorusBow"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_DelorusBow",1,0,0,0,0,0,0,0
new treasuretable "ARP_DivineReckoning"
new subtable "-1"
object category "I_ARP_WPN_Staff_Human_Alexandar",1,0,0,0,0,0,0,0
new treasuretable "ARP_FranTheBicorneHat"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BeastBicorne",1,0,0,0,0,0,0,0
new treasuretable "ARP_KnightOfAmadiasGloves"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_WizardTempleGloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_KnightOfDunasHelm"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_DwarfTempleHelmet",1,0,0,0,0,0,0,0
new treasuretable "ARP_KnightOfVrogirBoots"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_OrcTempleBoots",1,0,0,0,0,0,0,0
new treasuretable "ARP_SallowChainmail"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SallowManUpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_SeptasShield"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_CrabShield",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheEternalStormblade"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_CoS_EternalSword",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheShadowPrincesSignet"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_SpymasterSignet",1,0,0,0,0,0,0,0
new treasuretable "ARP_TheWatchersAmulet"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_WatcherAmulet",1,0,0,0,0,0,0,0
new treasuretable "ARP_Anathema"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_Godslayer",1,0,0,0,0,0,0,0
new treasuretable "ARP_AncientBelt"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_AntiqueSpecialBelt",1,0,0,0,0,0,0,0
new treasuretable "ARP_AncientSpearOfBloodletting"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Lizard_Spear",1,0,0,0,0,0,0,0
new treasuretable "ARP_AnMaflin"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ARX_TheOneShield",1,0,0,0,0,0,0,0
new treasuretable "ARP_AntiqueRing"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_AntiqueSpecialRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_AveLayal"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxGlovesOfSilencing",1,0,0,0,0,0,0,0
new treasuretable "ARP_BandOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Band_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_BrahmosBlade"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ARX_BrahmosSword_2H",1,0,0,0,0,0,0,0
new treasuretable "ARP_BreechesOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Pants_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_BootsOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Boots_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_Calamity"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_MaladySpear",1,0,0,0,0,0,0,0
new treasuretable "ARP_CircleOfSuns"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_RedPrincessRing",1,0,0,0,0,0,0,0
new treasuretable "ARP_ConfiscatedAncientEmpireWaterStaff"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Staff_Tornado",1,0,0,0,0,0,0,0
new treasuretable "ARP_CowlOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Cowl_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_DeiseisRiveil"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Bow_Mark",1,0,0,0,0,0,0,0
new treasuretable "ARP_DivineSpark"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Axe_2H_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_DomohDumora"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_DaggerOfCruelty",1,0,0,0,0,0,0,0
new treasuretable "ARP_DoraRav"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxHeavyArmour",1,0,0,0,0,0,0,0
new treasuretable "ARP_DrittaEvyet"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxRingOfHealing",1,0,0,0,0,0,0,0
new treasuretable "ARP_DumoraLam"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Wand_SiphonPoison",1,0,0,0,0,0,0,0
new treasuretable "ARP_EdnetVoor"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Spear_Sparks",1,0,0,0,0,0,0,0
new treasuretable "ARP_FaloneGirt"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxAmuletOfTheEarthMage",1,0,0,0,0,0,0,0
new treasuretable "ARP_Falone"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Axe_2H_DeathsDoorScythe",1,0,0,0,0,0,0,0
new treasuretable "ARP_FireyInferno"
new subtable "-1"
object category "I_ARP_UNI_ARX_LizardRelic_Staff",1,0,0,0,0,0,0,0
new treasuretable "ARP_GhostlyMorningstar"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ARX_GhostMace",1,0,0,0,0,0,0,0
new treasuretable "ARP_GlaochGirt"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Mace_1H_SurfaceSwapper",1,0,0,0,0,0,0,0
new treasuretable "ARP_GlovesOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Gloves_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_IntoThinAir"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Bow_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_KemmsDeflector"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ARX_KemmsShield",1,0,0,0,0,0,0,0
new treasuretable "ARP_Kallisteis"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxBootsOfEscaping",1,0,0,0,0,0,0,0
new treasuretable "ARP_KvynsHelm"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ARX_DoctorsVault_HeavyHelmet",1,0,0,0,0,0,0,0
new treasuretable "ARP_KvynsHands"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ARX_DoctorsVault_HeavyGloves",1,0,0,0,0,0,0,0
new treasuretable "ARP_KvynsHeart"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ARX_DoctorsVault_HeavyUpperbody",1,0,0,0,0,0,0,0
new treasuretable "ARP_LastOneStanding"
new subtable "-1"
object category "I_ARP_UNI_ARX_LizardRelic_Belt",1,0,0,0,0,0,0,0
new treasuretable "ARP_LoicsDiscipline"
new subtable "-1"
object category "I_ARP_UNI_WPN_ARX_Wand_Loic",1,0,0,0,0,0,0,0
new treasuretable "ARP_LordRuaneysBoots"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ARX_DoctorsVault_MediumBoots",1,0,0,0,0,0,0,0
new treasuretable "ARP_LordRuaneysBritches"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ARX_DoctorsVault_MediumLowerbody",1,0,0,0,0,0,0,0
new treasuretable "ARP_LuciansDivineStaff"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Staff_Divine",1,0,0,0,0,0,0,0
new treasuretable "ARP_Lucio"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_ARX_WarriorsShield",1,0,0,0,0,0,0,0
new treasuretable "ARP_LurontaTemva"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxGloriousPantaloons",1,0,0,0,0,0,0,0
new treasuretable "ARP_MantleOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Mantle_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_NazadHunola"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxLightArmour",1,0,0,0,0,0,0,0
new treasuretable "ARP_Rancour"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Dagger_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_RingOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Ring_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_RutomaRivelleis"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxAmuletOfThePolyMage",1,0,0,0,0,0,0,0
new treasuretable "ARP_Ruvola"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_ArxMageArmour",1,0,0,0,0,0,0,0
new treasuretable "ARP_SashOfTheFaithful"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Pilgrim_Belt_A",1,0,0,0,0,0,0,0
new treasuretable "ARP_Shattergrasp"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Wand_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_SoftTouch"
new subtable "-1"
object category "I_ARP_ARX_UNIQUE_Gloves_ElvenRelic",1,0,0,0,0,0,0,0
new treasuretable "ARP_SpearOfHorrorsleep"
new subtable "-1"
object category "I_ARP_UNI_WPN_ARX_Spear_Horrorsleep",1,0,0,0,0,0,0,0
new treasuretable "ARP_Swornbreaker"
new subtable "-1"
object category "I_ARP_WPN_UNIQUE_AtaraxianScythe",1,0,0,0,0,0,0,0
new treasuretable "ARP_TalismanOfTheFaithful"
new subtable "-1"
